BimpmRNA4 XP_024227798.1        
BimpmRNA198 XP_033176586.1        
BimpmRNA199 XP_033176586.1        
BimpmRNA200 XP_033176586.1        
BimpmRNA201 XP_003489516.1        
BimpmRNA202 XP_003489516.1        
BimpmRNA203 XP_003489516.1        
BimpmRNA204 XP_003489516.1        
BimpmRNA205 XP_003489516.1        
BimpmRNA206 XP_012241040.1        
BimpmRNA207 XP_012241040.1        
BimpmRNA208 XP_012241040.1        
BimpmRNA209 XP_033176589.1,XP_033176590.1,XP_033176591.1,XP_033176592.1,XP_033176593.1    
BimpmRNA210 XP_033176589.1,XP_033176590.1,XP_033176591.1,XP_033176592.1,XP_033176593.1    
BimpmRNA211 XP_033176589.1,XP_033176590.1,XP_033176591.1,XP_033176592.1,XP_033176593.1    
BimpmRNA212 XP_033176589.1,XP_033176590.1,XP_033176591.1,XP_033176592.1,XP_033176593.1    
BimpmRNA213 XP_003489514.3        
BimpmRNA214 XP_003489514.3        
BimpmRNA215 XP_003489514.3        
BimpmRNA216 XP_003489514.3        
BimpmRNA217 XP_033176585.1        
BimpmRNA218 XP_033176585.1        
BimpmRNA219 XP_033176585.1        
BimpmRNA220 XP_012248711.1        
BimpmRNA221 XP_012248711.1        
BimpmRNA222 XP_012248711.1        
BimpmRNA223 XP_033177415.1        
BimpmRNA224 XP_003494545.1        
BimpmRNA225 XP_003494545.1        
BimpmRNA226 XP_003494545.1        
BimpmRNA227 XP_003494545.1        
BimpmRNA228 XP_003494545.1        
BimpmRNA229 XP_003494545.1        
BimpmRNA230 XP_003494545.1        
BimpmRNA231 XP_003494546.1        
BimpmRNA232 XP_012248709.1        
BimpmRNA233 XP_012248709.1        
BimpmRNA234 XP_012248706.1        
BimpmRNA235 XP_012248706.1        
BimpmRNA236 XP_012248706.1        
BimpmRNA237 XP_012248704.1        
BimpmRNA238 XP_012248704.1        
BimpmRNA239 XP_012248704.1        
BimpmRNA241 XP_003494548.1        
BimpmRNA242 XP_003494548.1        
BimpmRNA244 XP_024227783.1        
BimpmRNA245 XP_024227783.1        
BimpmRNA246 XP_024227783.1        
BimpmRNA247 XP_003494549.2        
BimpmRNA248 XP_003494550.1        
BimpmRNA249 XP_003494550.1        
BimpmRNA250 XP_003494551.1        
BimpmRNA251 XP_003494551.1        
BimpmRNA252 XP_012248698.3        
BimpmRNA253 XP_012248698.3        
BimpmRNA254 XP_012248698.3        
BimpmRNA255 XP_012248698.3        
BimpmRNA256 XP_012248698.3        
BimpmRNA257 XP_012248698.3        
BimpmRNA258 XP_012248698.3        
BimpmRNA259 XP_012248698.3        
BimpmRNA260 XP_012248698.3        
BimpmRNA261 XP_012248698.3        
BimpmRNA262 XP_012248698.3        
BimpmRNA263 XP_012248698.3        
BimpmRNA264 XP_012248698.3        
BimpmRNA265 XP_003492558.1        
BimpmRNA266 XP_003492558.1        
BimpmRNA267 XP_003492555.1        
BimpmRNA268 XP_003492555.1        
BimpmRNA269 XP_003492555.1        
BimpmRNA270 XP_003492555.1        
BimpmRNA271 XP_003492555.1        
BimpmRNA272 XP_003492555.1        
BimpmRNA273 XP_003492555.1        
BimpmRNA274 XP_003492555.1        
BimpmRNA275 XP_003492555.1        
BimpmRNA276 XP_003492555.1        
BimpmRNA277 XP_033178923.1,XP_033178924.1       
BimpmRNA278 XP_033178923.1,XP_033178924.1       
BimpmRNA279 XP_024226163.1        
BimpmRNA280 XP_024226163.1        
BimpmRNA281 XP_024226163.1        
BimpmRNA282 XP_024226163.1        
BimpmRNA283 XP_024226163.1        
BimpmRNA284 XP_024226163.1        
BimpmRNA286 XP_003492564.1        
BimpmRNA287 XP_003492564.1        
BimpmRNA288 XP_003492565.1        
BimpmRNA289 XP_003492565.1        
BimpmRNA290 XP_012245701.1,XP_012245702.1,XP_012245703.1      
BimpmRNA291 XP_012245701.1,XP_012245702.1,XP_012245703.1      
BimpmRNA293 XP_003492567.1        
BimpmRNA294 XP_003492567.1        
BimpmRNA295 XP_003492567.1        
BimpmRNA296 XP_003492567.1        
BimpmRNA297 XP_003492567.1        
BimpmRNA298 XP_003492577.1        
BimpmRNA299 XP_003492577.1        
BimpmRNA300 XP_003492570.1        
BimpmRNA301 XP_003492570.1        
BimpmRNA302 XP_003492570.1        
BimpmRNA303 XP_003492570.1        
BimpmRNA304 XP_003492569.1        
BimpmRNA305 XP_003492569.1        
BimpmRNA306 XP_003492569.1        
BimpmRNA307 XP_003492569.1        
BimpmRNA308 XP_003492569.1        
BimpmRNA309 XP_003492571.1        
BimpmRNA310 XP_003492571.1        
BimpmRNA311 XP_003492571.1        
BimpmRNA312 XP_024226167.1        
BimpmRNA313 XP_003492578.1        
BimpmRNA314 XP_003492578.1        
BimpmRNA315 XP_003492578.1        
BimpmRNA316 XP_003492578.1        
BimpmRNA317 XP_003492578.1        
BimpmRNA318 XP_003492578.1        
BimpmRNA319 XP_003492574.1        
BimpmRNA320 XP_012245713.2        
BimpmRNA321 XP_012245713.2        
BimpmRNA322 XP_003492576.1        
BimpmRNA323 XP_003492576.1        
BimpmRNA324 XP_012246608.1        
BimpmRNA325 XP_012246608.1        
BimpmRNA326 XP_012246608.1        
BimpmRNA327 XP_024226580.1        
BimpmRNA328 XP_024226580.1        
BimpmRNA329 XP_024226580.1        
BimpmRNA330 XP_024226580.1        
BimpmRNA331 XP_024226580.1        
BimpmRNA332 XP_024226580.1        
BimpmRNA333 XP_003493161.1        
BimpmRNA334 XP_012246605.1        
BimpmRNA335 XP_033179298.1        
BimpmRNA336 XP_033179298.1        
BimpmRNA337 XP_033179298.1        
BimpmRNA338 XP_012246584.2        
BimpmRNA339 XP_003493159.1        
BimpmRNA340 XP_003493159.1        
BimpmRNA341 XP_003493159.1        
BimpmRNA342 XP_003493160.1        
BimpmRNA343 XP_024226567.1,XP_024226568.1       
BimpmRNA344 XP_024226567.1,XP_024226568.1       
BimpmRNA345 XP_024226567.1,XP_024226568.1       
BimpmRNA346 XP_033179291.1        
BimpmRNA347 XP_033179291.1        
BimpmRNA348 XP_033179291.1        
BimpmRNA349 XP_033179291.1        
BimpmRNA350 XP_033179291.1        
BimpmRNA351 XP_033179291.1        
BimpmRNA352 XP_033179291.1        
BimpmRNA353 XP_033179291.1        
BimpmRNA354 XP_033179291.1        
BimpmRNA355 XP_033179291.1        
BimpmRNA356 XP_033179291.1        
BimpmRNA357 XP_033179291.1        
BimpmRNA358 XP_033179291.1        
BimpmRNA359 XP_012246597.1,XP_012246599.1       
BimpmRNA360 XP_012246597.1,XP_012246599.1       
BimpmRNA361 XP_012246597.1,XP_012246599.1       
BimpmRNA362 XP_012246597.1,XP_012246599.1       
BimpmRNA363 XP_012246597.1,XP_012246599.1       
BimpmRNA364 XP_012246597.1,XP_012246599.1       
BimpmRNA365 XP_012246597.1,XP_012246599.1       
BimpmRNA366 XP_012246597.1,XP_012246599.1       
BimpmRNA367 XP_012246597.1,XP_012246599.1       
BimpmRNA368 XP_012246597.1,XP_012246599.1       
BimpmRNA369 XP_012246597.1,XP_012246599.1       
BimpmRNA370 XP_012246597.1,XP_012246599.1       
BimpmRNA371 XP_012246595.1        
BimpmRNA372 XP_024226570.1        
BimpmRNA373 XP_012246609.1        
BimpmRNA374 XP_012246609.1        
BimpmRNA375 XP_033179290.1        
BimpmRNA376 XP_033179290.1        
BimpmRNA377 XP_033179290.1        
BimpmRNA378 XP_033179290.1        
BimpmRNA379 XP_033179290.1        
BimpmRNA380 XP_033179290.1        
BimpmRNA381 XP_033179290.1        
BimpmRNA382 XP_033179290.1        
BimpmRNA383 XP_033179290.1        
BimpmRNA384 XP_033179290.1        
BimpmRNA385 XP_033179290.1        
BimpmRNA386 XP_033179290.1        
BimpmRNA387 XP_033179290.1        
BimpmRNA388 XP_033179290.1        
BimpmRNA389 XP_033179290.1        
BimpmRNA390 XP_033179290.1        
BimpmRNA391 XP_033179290.1        
BimpmRNA392 XP_033179290.1        
BimpmRNA393 XP_033179290.1        
BimpmRNA394 XP_033179290.1        
BimpmRNA395 XP_033179290.1        
BimpmRNA396 XP_033179290.1        
BimpmRNA397 XP_033179290.1        
BimpmRNA398 XP_033179290.1        
BimpmRNA399 XP_033179290.1        
BimpmRNA400 XP_033179290.1        
BimpmRNA401 XP_033179290.1        
BimpmRNA402 XP_003493156.1        
BimpmRNA403 XP_003493155.3        
BimpmRNA404 XP_003493155.3        
BimpmRNA405 XP_024220800.2        
BimpmRNA406 XP_024220800.2        
BimpmRNA407 XP_033174732.1        
BimpmRNA408 XP_003486646.1        
BimpmRNA409 XP_003486646.1        
BimpmRNA410 XP_003486645.1        
BimpmRNA411 XP_003486645.1        
BimpmRNA412 XP_024220790.1        
BimpmRNA413 XP_024220790.1        
BimpmRNA415 XP_024220791.1        
BimpmRNA416 XP_024220791.1        
BimpmRNA417 XP_024220791.1        
BimpmRNA418 XP_003486642.1        
BimpmRNA419 XP_003486642.1        
BimpmRNA427 XP_003486641.1        
BimpmRNA428 XP_003486641.1        
BimpmRNA429 XP_003486641.1        
BimpmRNA430 XP_033174730.1        
BimpmRNA431 XP_033174730.1        
BimpmRNA432 XP_033174730.1        
BimpmRNA434 XP_012236559.1        
BimpmRNA435 XP_012236559.1        
BimpmRNA436 XP_012236559.1        
BimpmRNA437 XP_012236559.1        
BimpmRNA438 XP_012236559.1        
BimpmRNA439 XP_012236559.1        
BimpmRNA440 XP_012236559.1        
BimpmRNA441 XP_012236559.1        
BimpmRNA442 XP_012236559.1        
BimpmRNA443 XP_012236559.1        
BimpmRNA444 XP_012236559.1        
BimpmRNA445 XP_012236559.1        
BimpmRNA446 XP_012236559.1        
BimpmRNA447 XP_012236559.1        
BimpmRNA448 XP_003486638.1        
BimpmRNA449 XP_003486637.1        
BimpmRNA450 XP_003486637.1        
BimpmRNA451 XP_012236550.1,XP_012236551.1,XP_012236552.1      
BimpmRNA452 XP_003486653.1        
BimpmRNA453 XP_003486653.1        
BimpmRNA454 XP_003486636.1        
BimpmRNA455 XP_012236535.1        
BimpmRNA456 XP_012236535.1        
BimpmRNA457 XP_012236535.1        
BimpmRNA458 XP_012236535.1        
BimpmRNA459 XP_012236535.1        
BimpmRNA460 XP_012236535.1        
BimpmRNA461 XP_012236535.1        
BimpmRNA462 XP_012236535.1        
BimpmRNA463 XP_012236535.1        
BimpmRNA464 XP_012236535.1        
BimpmRNA465 XP_012236535.1        
BimpmRNA466 XP_012236535.1        
BimpmRNA467 XP_012236535.1        
BimpmRNA468 XP_012236535.1        
BimpmRNA469 XP_012236535.1        
BimpmRNA470 XP_012236535.1        
BimpmRNA471 XP_012236535.1        
BimpmRNA472 XP_003486635.1        
BimpmRNA473 XP_003486635.1        
BimpmRNA474 XP_003486633.1        
BimpmRNA475 XP_003486633.1        
BimpmRNA476 XP_003486633.1        
BimpmRNA477 XP_003486633.1        
BimpmRNA478 XP_033174734.1        
BimpmRNA479 XP_033174734.1        
BimpmRNA480 XP_033174734.1        
BimpmRNA481 XP_012236562.1        
BimpmRNA482 XP_012236562.1        
BimpmRNA483 XP_012236562.1        
BimpmRNA484 XP_012236562.1        
BimpmRNA485 XP_003486631.1        
BimpmRNA486 XP_003486631.1        
BimpmRNA487 XP_003486631.1        
BimpmRNA488 XP_003486631.1        
BimpmRNA489 XP_012236531.2        
BimpmRNA490 XP_012236531.2        
BimpmRNA491 XP_003486629.1        
BimpmRNA492 XP_003486629.1        
BimpmRNA493 XP_003486629.1        
BimpmRNA494 XP_024220812.1        
BimpmRNA495 XP_024220812.1        
BimpmRNA496 XP_024220812.1        
BimpmRNA497 XP_024220812.1        
BimpmRNA498 XP_012236564.1,XP_012236565.1,XP_012236567.1      
BimpmRNA499 XP_012236564.1,XP_012236565.1,XP_012236567.1      
BimpmRNA500 XP_003494828.2        
BimpmRNA501 XP_003494828.2        
BimpmRNA502 XP_003494828.2        
BimpmRNA504 XP_003492991.2        
BimpmRNA505 XP_003492991.2        
BimpmRNA506 XP_012246283.2        
BimpmRNA507 XP_012246283.2        
BimpmRNA508 XP_012246283.2        
BimpmRNA509 XP_033179198.1        
BimpmRNA523 XP_033179196.1        
BimpmRNA524 XP_033179196.1        
BimpmRNA525 XP_012247547.1        
BimpmRNA526 XP_003492981.1        
BimpmRNA527 XP_003492981.1        
BimpmRNA528 XP_012246340.1        
BimpmRNA529 XP_012246340.1        
BimpmRNA530 XP_003492979.1        
BimpmRNA531 XP_003492977.1        
BimpmRNA532 XP_003492977.1        
BimpmRNA533 XP_003492977.1        
BimpmRNA534 XP_003492977.1        
BimpmRNA535 XP_003492976.1        
BimpmRNA536 XP_003492989.1        
BimpmRNA537 XP_003492989.1        
BimpmRNA538 XP_003492989.1        
BimpmRNA539 XP_003492975.1        
BimpmRNA540 XP_003492975.1        
BimpmRNA541 XP_003492975.1        
BimpmRNA542 XP_003492974.1        
BimpmRNA543 XP_003492974.1        
BimpmRNA544 XP_003492974.1        
BimpmRNA545 XP_003492974.1        
BimpmRNA546 XP_003492974.1        
BimpmRNA547 XP_003492973.1        
BimpmRNA548 XP_003492973.1        
BimpmRNA549 XP_003492973.1        
BimpmRNA550 XP_003492973.1        
BimpmRNA551 XP_003492973.1        
BimpmRNA552 XP_003492971.1        
BimpmRNA553 XP_003492971.1        
BimpmRNA554 XP_003492971.1        
BimpmRNA555 XP_012246295.1        
BimpmRNA557 XP_003492970.1        
BimpmRNA558 XP_003492970.1        
BimpmRNA559 XP_012246324.1        
BimpmRNA560 XP_024226471.1        
BimpmRNA561 XP_024226471.1        
BimpmRNA562 XP_012246293.1        
BimpmRNA563 XP_012246293.1        
BimpmRNA564 XP_012246293.1        
BimpmRNA565 XP_012246288.1        
BimpmRNA566 XP_012246288.1        
BimpmRNA568 XP_024226474.1        
BimpmRNA569 XP_012246329.1        
BimpmRNA570 XP_012246329.1        
BimpmRNA571 XP_012246329.1        
BimpmRNA572 XP_012246329.1        
BimpmRNA573 XP_012246329.1        
BimpmRNA574 XP_012246329.1        
BimpmRNA575 XP_012246306.1        
BimpmRNA576 XP_012246309.1        
BimpmRNA577 XP_012246309.1        
BimpmRNA578 XP_012246309.1        
BimpmRNA579 XP_012246309.1        
BimpmRNA582 XP_003492964.1        
BimpmRNA583 XP_003492964.1        
BimpmRNA584 XP_003492963.1        
BimpmRNA585 XP_003492963.1        
BimpmRNA586 XP_012246331.1        
BimpmRNA587 XP_012246331.1        
BimpmRNA588 XP_003492960.1        
BimpmRNA589 XP_003492960.1        
BimpmRNA590 XP_003492960.1        
BimpmRNA591 XP_003492960.1        
BimpmRNA592 XP_012246302.1        
BimpmRNA593 XP_012246302.1        
BimpmRNA594 XP_012246302.1        
BimpmRNA595 XP_012246302.1        
BimpmRNA597 XP_003492957.1        
BimpmRNA598 XP_003492956.1        
BimpmRNA599 XP_012246305.1        
BimpmRNA600 XP_012246305.1        
BimpmRNA601 XP_012246305.1        
BimpmRNA602 XP_012246305.1        
BimpmRNA603 XP_012246305.1        
BimpmRNA604 XP_033179211.1        
BimpmRNA605 XP_033179211.1        
BimpmRNA606 XP_012246342.1,XP_012246343.1,XP_012246344.1,XP_012246345.1     
BimpmRNA607 XP_012246342.1,XP_012246343.1,XP_012246344.1,XP_012246345.1     
BimpmRNA608 XP_012246341.1        
BimpmRNA609 XP_012246341.1        
BimpmRNA610 XP_003492985.1        
BimpmRNA611 XP_003492985.1        
BimpmRNA612 XP_012246338.1        
BimpmRNA613 XP_033179195.1        
BimpmRNA614 XP_033179195.1        
BimpmRNA615 XP_012246321.1,XP_012246322.1       
BimpmRNA616 XP_012246321.1,XP_012246322.1       
BimpmRNA617 XP_012246321.1,XP_012246322.1       
BimpmRNA618 XP_003492961.1        
BimpmRNA619 XP_003492961.1        
BimpmRNA620 XP_003492980.1        
BimpmRNA621 XP_024222350.2        
BimpmRNA622 XP_003494226.1        
BimpmRNA623 XP_003494225.1        
BimpmRNA624 XP_003494225.1        
BimpmRNA625 XP_003494225.1        
BimpmRNA626 XP_003494224.1        
BimpmRNA627 XP_003494224.1        
BimpmRNA628 XP_003494223.1        
BimpmRNA629 XP_033180110.1        
BimpmRNA630 XP_033180110.1        
BimpmRNA631 XP_024227538.1        
BimpmRNA632 XP_033180109.1        
BimpmRNA633 XP_033180109.1        
BimpmRNA634 XP_012248243.1,XP_012248244.1,XP_012248245.1,XP_012248246.1     
BimpmRNA635 XP_012248243.1,XP_012248244.1,XP_012248245.1,XP_012248246.1     
BimpmRNA636 XP_012248243.1,XP_012248244.1,XP_012248245.1,XP_012248246.1     
BimpmRNA637 XP_012248243.1,XP_012248244.1,XP_012248245.1,XP_012248246.1     
BimpmRNA638 XP_033180108.1        
BimpmRNA639 XP_003494219.1,XP_003494220.1       
BimpmRNA640 XP_003494232.1        
BimpmRNA641 XP_012248239.1        
BimpmRNA642 XP_012248239.1        
BimpmRNA643 XP_033180111.1        
BimpmRNA644 XP_033180111.1        
BimpmRNA645 XP_033180106.1        
BimpmRNA646 XP_033180106.1        
BimpmRNA647 XP_003494227.1        
BimpmRNA648 XP_003494227.1        
BimpmRNA649 XP_003494231.1        
BimpmRNA650 XP_003494231.1        
BimpmRNA651 XP_024227865.1        
BimpmRNA652 XP_024227865.1        
BimpmRNA655 XP_012248848.1        
BimpmRNA656 XP_012248848.1        
BimpmRNA660 XP_024227864.1        
BimpmRNA661 XP_024227864.1        
BimpmRNA662 XP_024227864.1        
BimpmRNA663 XP_024227864.1        
BimpmRNA664 XP_003494665.1        
BimpmRNA665 XP_003494665.1        
BimpmRNA666 XP_003494665.1        
BimpmRNA667 XP_012248847.1        
BimpmRNA668 XP_012248847.1        
BimpmRNA669 XP_033180364.1,XP_033180365.1,XP_033180366.1,XP_033180367.1     
BimpmRNA670 XP_033180364.1,XP_033180365.1,XP_033180366.1,XP_033180367.1     
BimpmRNA671 XP_033180364.1,XP_033180365.1,XP_033180366.1,XP_033180367.1     
BimpmRNA672 XP_033180364.1,XP_033180365.1,XP_033180366.1,XP_033180367.1     
BimpmRNA673 XP_033180364.1,XP_033180365.1,XP_033180366.1,XP_033180367.1     
BimpmRNA674 XP_033180364.1,XP_033180365.1,XP_033180366.1,XP_033180367.1     
BimpmRNA675 XP_024227869.1        
BimpmRNA676 XP_024227869.1        
BimpmRNA677 XP_003494670.1        
BimpmRNA678 XP_003494670.1        
BimpmRNA681 XP_003494671.2        
BimpmRNA682 XP_003494671.2        
BimpmRNA683 XP_003494671.2        
BimpmRNA684 XP_033175046.1        
BimpmRNA685 XP_033175046.1        
BimpmRNA686 XP_033175046.1        
BimpmRNA687 XP_033175046.1        
BimpmRNA688 XP_033175046.1        
BimpmRNA690 XP_012237314.1        
BimpmRNA691 XP_012237314.1        
BimpmRNA692 XP_012237314.1        
BimpmRNA693 XP_012237315.1,XP_012237316.1       
BimpmRNA694 XP_012237315.1,XP_012237316.1       
BimpmRNA695 XP_012237315.1,XP_012237316.1       
BimpmRNA696 XP_003487078.1        
BimpmRNA697 XP_003487078.1        
BimpmRNA698 XP_003487079.1        
BimpmRNA699 XP_003487079.1        
BimpmRNA700 XP_003487077.1        
BimpmRNA701 XP_012237425.1        
BimpmRNA702 XP_012237425.1        
BimpmRNA703 XP_033175066.1        
BimpmRNA704 XP_033175066.1        
BimpmRNA705 XP_033175066.1        
BimpmRNA706 XP_024221247.1        
BimpmRNA707 XP_003487072.1        
BimpmRNA708 XP_003487072.1        
BimpmRNA709 XP_024221317.1,XP_024221318.1,XP_024221319.1,XP_024221320.1,XP_024221321.1,XP_024221322.1    
BimpmRNA710 XP_024221317.1,XP_024221318.1,XP_024221319.1,XP_024221320.1,XP_024221321.1,XP_024221322.1    
BimpmRNA711 XP_024221317.1,XP_024221318.1,XP_024221319.1,XP_024221320.1,XP_024221321.1,XP_024221322.1    
BimpmRNA712 XP_003487068.1        
BimpmRNA713 XP_003487068.1        
BimpmRNA714 XP_003487068.1        
BimpmRNA715 XP_003487069.1        
BimpmRNA716 XP_003487069.1        
BimpmRNA717 XP_003487069.1        
BimpmRNA718 XP_003487067.1        
BimpmRNA719 XP_003487066.1        
BimpmRNA720 XP_024221275.1,XP_024221277.1       
BimpmRNA721 XP_024221275.1,XP_024221277.1       
BimpmRNA722 XP_024221275.1,XP_024221277.1       
BimpmRNA723 XP_024221275.1,XP_024221277.1       
BimpmRNA724 XP_024221239.1        
BimpmRNA725 XP_024221239.1        
BimpmRNA726 XP_024221239.1        
BimpmRNA728 XP_003487115.1        
BimpmRNA729 XP_003487115.1        
BimpmRNA730 XP_003487115.1        
BimpmRNA731 XP_003487062.2        
BimpmRNA732 XP_003487062.2        
